type,param,seed,P0_sim,W_sim,L_sim,throughput_sim,time,P0_th,W_th,L_th,thr_th
lambda,0.5,31,0.9166619477660725,0.181727979869136,0.09082097492173298,0.4997633,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,32,0.9166198703563949,0.18188447477286093,0.09098179725969356,0.5002175,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,33,0.9168747342673783,0.18173882725704893,0.09083261151600491,0.4997975,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,34,0.9166016955461296,0.18195390003305817,0.09092403782239948,0.4997092,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,35,0.9163674340796495,0.18195085437073746,0.09096045263005402,0.4999177,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,36,0.9165679664176568,0.18192588735659318,0.09099343445701755,0.5001676,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,37,0.9166605519774905,0.1818398736870288,0.0909493403510896,0.5001617,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,38,0.9167185032824525,0.18195191535894137,0.09099944767174353,0.5001291,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,39,0.9166103096596544,0.18181719412251068,0.0908435246874789,0.4996421,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,40,0.9166133006772799,0.1818773285963262,0.09096821936406,0.5001625,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,41,0.9166753681319935,0.18166507622991288,0.09081724191553789,0.4999158,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,42,0.9167133568973247,0.18181323912690908,0.09095809089145136,0.5002831,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,43,0.9165488988963192,0.18181889933151094,0.09101152279584018,0.5005614,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,44,0.9168005153231622,0.18184130427745213,0.09089892210286492,0.4998805,0.47,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,45,0.9167006090422488,0.18191235755351187,0.09093194805072981,0.4998668,0.47,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,46,0.9166674998370319,0.18181835727876244,0.0909269604747231,0.5000978,0.47,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,47,0.9167316840057346,0.18201557031356902,0.09103017307193309,0.500123,0.47,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,48,0.9166829687076822,0.1820142132287768,0.09099571252464028,0.4999374,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,49,0.9165313021863063,0.18190431049667652,0.09097598703410965,0.5001312,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,50,0.9165914520307952,0.18191994997710978,0.09096243090787959,0.5000135,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,51,0.9167750582594394,0.18168821706114552,0.09083718620950272,0.4999619,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,52,0.916746964501789,0.18176563022987596,0.09086640167852822,0.4999097,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,53,0.916519828014896,0.18180120707293246,0.09095919806550583,0.5003224,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,54,0.9165392661007589,0.1820152687672464,0.09103104154718668,0.5001286,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,55,0.9167083905515654,0.18179699512402406,0.0908827721219338,0.4999135,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,56,0.9165152708360949,0.18179516363265305,0.09093010497110042,0.5001789,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,57,0.9167418170123582,0.18188933465560503,0.0909442489823328,0.4999977,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,58,0.9166469995751908,0.18186538091508542,0.09093072631142882,0.4999892,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,59,0.916523665308437,0.181924085416034,0.09098238182076651,0.5001118,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,60,0.9167063794541842,0.18178835235686497,0.09086490825370304,0.499839,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,61,0.9163501427280636,0.18192452612547616,0.09102722831101748,0.5003571,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,62,0.9164191015209339,0.18193948994995085,0.09101317393122649,0.5002387,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,63,0.9165917462602272,0.18181258013973672,0.09094219805444595,0.5001975,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,64,0.9165275185378099,0.18181625620268207,0.09093112785775068,0.5001265,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,65,0.917029081556605,0.18161420814311263,0.09077412293135753,0.4998185,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,66,0.9167349600708783,0.1818110757153573,0.09082557734657903,0.4995602,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,67,0.9165983791679025,0.181773283973097,0.09094764510064987,0.5003356,0.47,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,68,0.9165732229647722,0.18176578346767094,0.09088901724073833,0.5000337,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,69,0.9168073140508187,0.18179397982222975,0.09085559542190935,0.4997723,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,70,0.9164336533817777,0.18202492977173723,0.09105935450777781,0.5002576,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,71,0.9166438447899155,0.18185356752373763,0.09097242900731728,0.500251,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,72,0.9165338439908702,0.18177039908601908,0.09091530072109819,0.5001656,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,73,0.9165473653548991,0.18178313297612794,0.09086517157715583,0.4998548,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,74,0.9166307413231297,0.18188247677588762,0.09096146371936129,0.5001112,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,75,0.9166367904259529,0.1818395003548122,0.09094131634214818,0.5001187,0.47,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,76,0.9166189519327165,0.18175647219002838,0.09097714796718001,0.5005442,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
